Customer_ID,First_Name,Last_Name,Gender,Age,Country,City,Email,Phone_Number,Customer_Segment,Annual_Income_USD,Account_Creation_Date,Total_Purchases,Avg_Purchase_Value_USD,Last_Purchase_Date,Customer_Satisfaction_Score,Support_Tickets_Raised,Support_Tickets_Resolved,Email_Open_Rate,Churn
CUST_0020,Jessica,Anderson,Male,43,Slovenia,New Keith,kevincabrera@example.net,(362)686-0071,Corporate,73384,2024-10-21,10,1373.83,2025-08-22,4,3,3,0.61,Yes
CUST_0021,Danielle,Williamson,Female,58,Ghana,East James,gscott@example.net,236.474.0776x14663,Retail,148922,2025-01-05,11,511.76,2025-08-06,1,1,1,0.36,No
CUST_0022,Mariah,Robinson,Male,62,Peru,East Mary,gomezlori@example.com,(484)607-1214,Corporate,25793,2023-05-28,11,213.73,2025-03-10,2,0,0,0.06,Yes
CUST_0023,Hector,Russell,Male,43,Ethiopia,Crosbyview,matthew12@example.org,(965)435-9191x668,SME,122827,2024-05-09,10,1551.54,2024-10-18,5,1,1,0.64,Yes
CUST_0024,Michael,Montoya,Male,64,Sudan,West Stevenborough,cynthiawalker@example.com,(471)679-4378x320,Retail,25571,2024-11-13,7,1278.84,2024-11-11,2,5,1,0.57,No
CUST_0025,Jason,Cole,Male,49,Nicaragua,Garciashire,andrew43@example.com,+1-630-411-4163x3988,Corporate,116867,2023-03-31,12,1977.56,2025-08-29,4,0,0,0.11,No
CUST_0026,Robert,Gallegos,Female,27,Holy See (Vatican City State),North Christinestad,jessicaavery@example.net,784.535.1793x1827,SME,36209,2022-11-15,9,721.4,2025-06-23,1,3,3,0.91,Yes
CUST_0027,Gabriel,Davila,Male,33,Iraq,South Marcus,matthew67@example.org,001-412-303-1142,Enterprise,133550,2022-11-24,5,170.44,2025-05-18,5,1,1,0.2,No
CUST_0028,Mary,Phillips,Female,24,Israel,Lopezton,edwinbenson@example.org,+1-859-652-6509x3621,Retail,110930,2024-02-29,12,1481.98,2024-12-02,1,2,2,0.74,No
CUST_0029,Samuel,Hill,Female,34,Ukraine,North Javierberg,maria71@example.net,722.700.1338x356,Retail,63148,2023-10-30,13,1067.38,2025-04-07,5,3,3,0.89,No
CUST_0030,Raymond,Diaz,Male,40,Martinique,East Matthewtown,hmoss@example.com,+1-900-662-1796x6148,Retail,111218,2025-09-13,13,465.75,2025-03-22,1,4,0,0.58,Yes
CUST_0031,Ricky,Burnett,Female,43,Bosnia and Herzegovina,Katherinechester,larsencraig@example.com,9242139716,Enterprise,22224,2022-08-20,16,1574.37,2025-01-14,4,0,0,0.25,No
CUST_0032,Brenda,Robinson,Male,38,Burkina Faso,Sosaville,marysanders@example.org,736.303.2938x5647,Enterprise,126693,2023-10-30,10,447.32,2024-12-30,5,1,1,0.31,No
CUST_0033,Kyle,Johnson,Male,39,Angola,Romanberg,donaldfrazier@example.com,(576)739-6640x322,Corporate,145551,2021-11-10,12,558.29,2025-08-15,3,4,1,0.89,No
CUST_0034,Matthew,Taylor,Female,24,Montenegro,Martinfurt,dana79@example.net,298.786.6544,SME,68695,2020-11-17,7,230.43,2025-10-04,1,1,1,0.3,Yes
CUST_0035,Carolyn,Cantu,Other,31,Rwanda,East Phillipville,dianamontgomery@example.net,+1-969-611-2550,Corporate,140779,2021-12-08,13,828.89,2025-05-22,1,4,3,0.75,No
CUST_0036,David,Murphy,Female,32,Qatar,New Patricia,james81@example.org,(335)696-4577,Corporate,149714,2023-01-15,9,866.91,2024-11-09,2,5,3,0.99,No
CUST_0037,Joshua,Perez,Male,24,Angola,Gutierrezview,james16@example.org,+1-810-382-9066x86159,Retail,129988,2023-02-11,7,1053.4,2025-06-23,5,1,1,1.0,No
CUST_0038,Kimberly,Burns,Male,26,Ireland,Zacharyborough,bondrebecca@example.net,+1-979-379-5742x5265,SME,128944,2025-07-13,15,1432.48,2025-07-17,3,2,2,0.53,No
CUST_0039,Joanna,Adams,Female,68,Tokelau,Wigginschester,qevans@example.net,(872)442-7786x4541,Retail,52441,2021-12-26,13,1816.9,2025-08-03,4,3,3,0.83,Yes
CUST_0040,Shannon,Davies,Male,65,Azerbaijan,New Jasmine,fletcherpatrick@example.com,+1-946-297-3081,SME,126966,2023-05-13,10,318.58,2025-07-27,2,1,1,0.99,No
CUST_0041,David,Smith,Male,25,Guam,North Loriburgh,lrogers@example.net,432.512.4476x17850,SME,59129,2022-07-30,14,155.98,2024-11-21,3,3,3,0.37,Yes
CUST_0042,Kaylee,Reed,Female,67,Algeria,Laurachester,jessica81@example.com,+1-367-644-1183x1101,SME,120252,2021-12-18,10,86.14,2025-04-20,5,2,2,0.25,No
CUST_0043,Jessica,Fitzgerald,Male,40,Bulgaria,Shortmouth,qbarker@example.net,+1-266-769-2383x72698,Retail,82368,2025-08-02,10,330.06,2025-02-15,3,3,3,0.11,No
CUST_0044,Jenny,Adkins,Female,46,Nicaragua,Lake Glendatown,thomas54@example.net,001-205-988-2315,Retail,130395,2023-07-15,12,1333.0,2024-10-24,1,1,1,0.14,No
CUST_0045,James,Silva,Male,35,Tajikistan,Caitlynmouth,marybriggs@example.net,(655)588-0569x4555,Retail,112122,2021-04-29,10,1468.58,2025-10-05,1,0,0,0.85,No
CUST_0046,Carolyn,Smith,Female,48,Oman,Robinville,lori46@example.net,+1-761-770-4982,Retail,64760,2022-09-20,10,1583.69,2025-04-03,2,3,1,0.59,Yes
CUST_0047,Ernest,Carroll,Male,47,French Southern Territories,North Deborah,briancastro@example.org,540.344.2856x9493,Retail,149655,2023-06-28,8,525.23,2024-12-19,5,0,0,0.87,No
CUST_0048,Victoria,Lawson,Female,69,Benin,Sherryshire,josephgolden@example.com,245-540-2098x277,Enterprise,43478,2022-01-06,8,646.49,2024-10-26,5,1,1,0.79,No
CUST_0049,Emily,Williams,Female,56,Anguilla,New Johnborough,kevinsmith@example.net,716.464.4696x3679,Corporate,147881,2025-07-29,6,992.11,2024-11-26,3,0,0,0.67,Yes
CUST_0050,Sarah,Johnson,Male,52,Gambia,East Katherine,kporter@example.net,+1-960-762-7665x41772,Retail,91854,2025-02-22,11,173.21,2025-02-09,2,2,1,0.61,No
CUST_0051,Savannah,Christensen,Other,35,Cote d'Ivoire,Davidfurt,turnertonya@example.com,344.736.2488,Retail,114230,2023-04-25,7,1241.73,2025-08-22,5,1,1,0.05,Yes
CUST_0052,Paula,Fisher,Female,59,Iceland,South Javiertown,eharris@example.org,733-977-8173x13464,Corporate,105716,2022-01-24,6,1968.28,2025-09-05,1,1,1,0.87,No
CUST_0053,Andrew,Patton,Female,56,Estonia,Ramseyburgh,browncrystal@example.org,(996)271-6799,Corporate,32180,2023-01-25,8,753.57,2025-08-31,3,1,0,0.42,No
CUST_0054,Robert,Burch,Female,34,Chad,New Dalemouth,eric36@example.net,4433427784,Corporate,118538,2022-09-09,12,1518.05,2025-07-19,4,0,0,0.56,Yes
CUST_0055,Jessica,Dixon,Female,31,French Southern Territories,East Taylor,nixonpaul@example.com,(792)407-0296,Enterprise,35372,2021-11-12,12,1025.07,2025-04-30,1,1,0,0.02,No
CUST_0056,Timothy,Smith,Female,48,Haiti,North Christopher,murphychristopher@example.org,450.819.2258,Corporate,49796,2022-08-31,13,299.23,2025-08-08,2,0,0,0.94,No
CUST_0057,Henry,Garcia,Male,41,Reunion,Woodardport,michael90@example.org,001-820-398-7722x576,Enterprise,78272,2023-12-28,8,1185.36,2024-11-01,5,2,0,0.9,No
CUST_0058,Allen,Kelley,Male,52,Togo,Jefferystad,lisa64@example.org,309.391.6229,SME,138295,2021-02-17,11,634.75,2025-02-20,1,3,0,0.54,No
CUST_0059,Melissa,Gomez,Male,61,Madagascar,Powellland,nicole21@example.com,(457)551-5789,Retail,109963,2021-05-29,10,117.09,2025-04-18,4,2,0,0.58,No
CUST_0060,Brandon,Gardner,Male,62,Colombia,North Alexander,mahoneymarcus@example.org,+1-354-220-2044,Enterprise,118826,2024-07-12,13,1288.11,2024-10-17,4,3,1,0.71,No
CUST_0061,Amanda,Walsh,Male,51,Egypt,Fernandochester,jeremy22@example.com,001-350-978-5731,Retail,140592,2025-07-17,9,1724.92,2024-12-29,2,2,2,0.26,No
CUST_0062,Theodore,Vargas,Male,20,Czech Republic,Cassandraland,georgedawn@example.net,(298)674-1604,SME,113635,2021-01-02,7,722.3,2025-09-30,1,1,1,0.22,No
CUST_0063,Shannon,Brown,Female,54,Seychelles,Sarahport,alopez@example.net,465-966-8688x20836,Retail,131022,2022-10-23,14,811.08,2025-10-01,3,3,3,0.67,No
CUST_0064,Laura,Williams,Male,60,Timor-Leste,Murphyborough,diazeric@example.com,(989)393-1531x1815,SME,74040,2023-07-26,12,1787.49,2025-09-25,1,0,0,0.1,Yes
CUST_0065,Patricia,Friedman,Male,57,Haiti,West Amandaton,walter38@example.com,001-468-504-9481,SME,95357,2022-08-10,10,1636.54,2024-10-17,4,0,0,0.45,No
CUST_0066,Jesse,Anderson,Female,43,Sudan,Port Jonathanberg,amanda37@example.com,744-410-6983,SME,91368,2024-09-12,7,1444.16,2025-08-07,2,1,0,0.49,No
CUST_0067,Margaret,Smith,Male,40,Guam,Stevenmouth,nicholaslee@example.com,001-961-293-9383x4118,SME,98356,2022-11-20,8,535.15,2025-02-13,2,4,3,0.38,No
CUST_0068,Travis,Jefferson,Female,61,Malawi,East Tracy,uvargas@example.net,001-237-712-0874x42348,Retail,36211,2023-06-25,10,1824.92,2025-06-06,3,4,4,0.19,No
CUST_0069,Scott,Fields,Male,56,Sri Lanka,Lake Jacobberg,tina52@example.net,349-990-4666,Retail,125426,2024-01-25,9,351.11,2025-08-06,2,0,0,0.36,No
CUST_0070,Megan,Contreras,Other,32,Italy,Salazarstad,larry69@example.com,501.846.5290x902,Corporate,25842,2023-03-17,11,1272.2,2025-02-16,2,7,4,0.34,No
CUST_0071,Nicholas,Perez,Female,66,Hong Kong,Lake Catherine,heatherwilliams@example.com,898.521.8744,Retail,83115,2021-10-27,8,106.16,2025-01-31,2,3,2,0.5,No
CUST_0072,Penny,Levy,Male,21,Saint Martin,Duncanberg,tuckerjennifer@example.net,+1-463-733-4150x3928,Corporate,86852,2023-08-10,7,1305.25,2025-10-05,2,3,0,0.67,No
CUST_0073,Megan,Jackson,Male,46,Indonesia,South Heather,penny06@example.org,(956)803-0727,Retail,145737,2021-11-03,14,590.43,2025-02-18,2,4,1,0.97,No
CUST_0074,Alicia,Mathis,Female,39,Cocos (Keeling) Islands,Lake Jonathan,william04@example.com,5259142819,Enterprise,65968,2022-09-26,11,926.87,2025-03-19,4,2,1,0.14,No
CUST_0075,Benjamin,Wright,Female,42,Niue,Ashleyfurt,wdawson@example.com,320-983-7410,Corporate,37508,2023-07-26,9,723.27,2025-07-06,1,3,2,0.87,Yes
CUST_0076,Cassandra,Carroll,Female,30,Uruguay,Port Heather,delgadosheila@example.net,(788)582-5303x0129,SME,42005,2024-04-15,3,386.88,2024-12-18,5,1,1,0.28,No
CUST_0077,Michael,Mendoza,Female,35,Puerto Rico,Matthewshaven,zjohnson@example.com,814-424-8584x19056,Retail,74575,2024-06-27,16,1262.86,2025-05-27,2,3,3,0.59,No
CUST_0078,Megan,Foster,Male,50,Mozambique,Thomasside,zlee@example.net,802.364.1001,SME,100742,2024-08-09,9,1769.85,2025-02-10,5,1,1,0.55,No
CUST_0079,Michael,Wood,Male,33,Turkmenistan,Lake Lori,xedwards@example.net,901-514-7216,Enterprise,38971,2021-07-29,5,1920.21,2025-06-19,5,1,1,0.56,Yes
CUST_0080,Katherine,Delgado,Male,62,Denmark,New Sierra,debra98@example.net,(804)903-2137,Corporate,45599,2023-10-12,9,425.08,2024-11-23,4,2,1,0.72,Yes
CUST_0081,Ian,Smith,Female,59,Ireland,Whitechester,brian76@example.org,302.311.5736x304,Corporate,107592,2024-10-17,10,1448.88,2025-09-11,2,2,1,0.38,No
CUST_0082,John,Short,Female,61,Lesotho,Lake Thomas,holderbradley@example.org,706.360.1341,SME,86914,2024-10-10,12,1345.46,2025-01-20,5,2,2,0.32,No
CUST_0083,Heather,Young,Male,19,Bahamas,Lake Anthony,emartin@example.com,(202)667-9984x76597,Retail,138062,2025-03-22,12,719.59,2025-04-23,2,2,1,0.85,No
CUST_0084,Andrea,Gonzalez,Male,52,Malawi,Dayview,hilljoshua@example.org,001-586-391-7369x1649,Corporate,87055,2020-11-13,9,87.24,2025-06-30,3,3,3,0.22,No
CUST_0085,Kyle,Gonzalez,Male,59,Guernsey,Morenoville,amanda29@example.org,001-225-834-1114,Retail,107697,2022-09-27,7,1395.09,2025-04-13,3,3,1,0.18,No
CUST_0086,Lauren,Morales,Male,51,Tonga,Harrisonmouth,kathrynmitchell@example.net,740.844.0886x8056,Retail,126239,2022-09-10,9,1893.71,2025-07-09,3,4,2,0.02,No
CUST_0087,Kelly,Valdez,Female,47,Guam,Rebeccaberg,nancymcneil@example.net,909-857-6554x0604,Retail,124397,2024-04-25,14,1282.63,2024-11-08,5,3,1,0.21,No
CUST_0088,Christina,Henderson,Female,30,Kyrgyz Republic,Meyerstad,smithkathleen@example.org,(309)704-2079x28663,Retail,143106,2025-05-16,13,898.82,2024-11-25,3,2,2,0.52,No
CUST_0089,Katelyn,Joseph,Female,30,Ecuador,Bellton,kennethmay@example.com,(632)938-7816x9368,Retail,25355,2024-02-02,9,1074.05,2025-02-02,4,1,1,0.54,Yes
CUST_0090,Daniel,Rodriguez,Male,35,Greenland,Herreraburgh,knguyen@example.com,001-269-911-9060x43833,Retail,74120,2025-09-24,9,439.28,2024-10-26,4,2,2,0.25,No
CUST_0091,Jessica,Martin,Male,49,Brazil,Lisaborough,moorekatelyn@example.com,614.478.8630,Enterprise,94619,2021-05-26,7,1513.56,2024-10-19,5,4,2,0.07,No
CUST_0092,Phillip,Lee,Female,49,China,Sheltonport,jenniferbyrd@example.org,867.612.0857x139,Corporate,58342,2022-07-26,12,1505.52,2025-09-07,2,1,1,0.74,No
CUST_0093,Kyle,Brown,Female,52,Madagascar,Port Thomas,kellerpatricia@example.com,+1-658-371-0600,Enterprise,105992,2022-11-12,10,333.76,2024-12-30,1,2,2,0.76,Yes
CUST_0094,Daniel,Long,Female,56,Palau,Lake Dennis,lukemiller@example.net,(584)613-6655x67615,Corporate,98860,2024-12-04,6,1762.06,2024-12-09,2,1,1,1.0,No
CUST_0095,Dean,Greene,Female,63,Lao People's Democratic Republic,South Brandon,rgarcia@example.net,(738)634-6795x0932,Retail,22257,2024-07-24,9,574.92,2025-02-10,2,1,1,0.9,No
CUST_0096,Lisa,Rosales,Female,69,Bahamas,Cranestad,xfarmer@example.net,613-696-6305x077,Corporate,47364,2024-01-08,10,1965.4,2025-01-25,2,2,1,0.93,No
CUST_0097,Katherine,Fleming,Female,46,Zambia,West Anthony,vwerner@example.com,341.440.3868x06287,Corporate,44972,2022-03-07,12,796.66,2025-01-12,2,1,1,0.8,Yes
CUST_0098,Allison,Medina,Male,66,Austria,Kathrynland,olowe@example.org,8677011616,Retail,131715,2024-04-22,10,396.87,2025-03-20,1,4,3,0.62,No
CUST_0099,Christopher,Parker,Male,46,Tunisia,Ballardhaven,kanderson@example.org,412.576.8794x9881,Corporate,46654,2020-12-22,10,735.85,2025-05-17,3,1,1,0.13,Yes
CUST_0100,Terry,Hines,Male,61,Libyan Arab Jamahiriya,Johnsonhaven,sheppardrebecca@example.com,001-982-612-4894,Retail,100769,2025-03-08,11,908.35,2025-05-20,2,2,2,0.62,No
CUST_0101,Andrea,Stokes,Male,33,Japan,Trujillochester,petersensamantha@example.org,781-737-6146x842,Corporate,101423,2024-05-28,13,185.15,2025-09-10,4,1,1,0.06,No
CUST_0102,Victoria,Wolfe,Female,61,Nepal,Myerschester,jenniferharrell@example.org,8228925211,Corporate,49320,2022-06-21,6,1177.53,2024-12-24,5,4,2,0.89,Yes
CUST_0103,Vincent,White,Male,64,Vanuatu,South Melissa,sonya54@example.org,256-813-1282,Retail,40808,2025-03-01,10,1215.38,2025-04-13,5,3,3,0.48,No
CUST_0104,Marc,Hall,Female,27,Iceland,North Johnborough,martinjames@example.org,229-808-2073x03418,Retail,72389,2023-02-22,9,1490.91,2025-05-10,4,1,1,0.7,Yes
CUST_0105,Denise,Mendez,Female,47,Bahamas,Aguilarburgh,georgezavala@example.org,5512585939,SME,115690,2023-09-17,13,106.88,2025-04-23,2,2,2,0.05,No
CUST_0106,Mason,Martinez,Male,42,Tanzania,South Brittneychester,choward@example.net,660.220.9400,Corporate,138581,2021-10-06,9,1105.41,2025-05-20,1,0,0,0.53,No
CUST_0107,Kayla,Becker,Male,56,United States Minor Outlying Islands,Taylorton,ggillespie@example.org,001-648-858-4060,Retail,147927,2025-02-04,10,153.17,2025-03-19,3,3,0,0.3,No
CUST_0108,Timothy,Morales,Female,37,Namibia,Christinehaven,seth41@example.com,8962752146,Enterprise,54773,2023-04-20,9,1417.23,2025-08-05,5,3,3,0.28,No
CUST_0109,Michael,Stewart,Male,22,Korea,Smithmouth,ryanthomas@example.org,685-652-5541,Retail,71168,2023-08-18,5,158.67,2025-04-12,3,2,0,0.39,No
CUST_0110,Valerie,Kelley,Male,18,Russian Federation,Kimberlyton,greenkatherine@example.org,949-301-3401x25178,Corporate,47747,2024-01-20,13,1827.87,2025-08-03,1,4,1,0.0,Yes
CUST_0111,Sara,Davis,Male,47,Micronesia,Gonzalezland,gsoto@example.net,652.369.6506x55535,Enterprise,96396,2021-12-23,13,1419.06,2025-08-12,5,2,0,0.47,No
CUST_0112,Christopher,White,Male,66,Guam,South Katelyn,hernandeznatalie@example.net,614.582.7770,Retail,128374,2023-10-26,11,1039.41,2025-07-17,3,3,3,0.49,No
CUST_0113,Marcus,Davidson,Female,20,Libyan Arab Jamahiriya,Nicholasmouth,qsnyder@example.com,+1-512-315-0871,Retail,127692,2022-01-27,9,910.93,2025-04-26,1,1,1,0.86,No
CUST_0114,Erin,Dixon,Female,62,Mozambique,Wayneborough,mark64@example.com,303-616-2294x11592,Retail,103692,2024-02-15,4,304.81,2025-05-12,3,1,1,0.45,Yes
CUST_0115,Daniel,Boyd,Female,31,Rwanda,Lake Racheltown,jefferyanderson@example.com,001-350-827-4919,Retail,77505,2021-06-18,15,617.45,2025-04-04,2,4,1,0.36,No
CUST_0116,Jeffery,Booker,Female,47,Kyrgyz Republic,East Karlshire,james44@example.com,3886490047,Retail,105896,2025-09-11,8,1744.47,2024-12-17,1,3,3,0.99,No
CUST_0117,Jesus,Collins,Female,67,Venezuela,Millerstad,jessicajones@example.net,416.743.6451x8248,Corporate,38135,2021-02-12,10,1813.68,2025-03-11,3,1,1,0.57,No
CUST_0118,Jason,Mercado,Male,21,Hungary,Matthewbury,jacquelinelewis@example.org,731.892.5730,Retail,110887,2024-12-31,16,51.46,2025-04-11,2,2,2,0.47,No
CUST_0119,Laura,Gibbs,Female,35,Yemen,South Erin,tuckerandrew@example.com,(378)407-2058,Corporate,142118,2021-06-25,9,1208.57,2025-03-15,2,1,1,0.5,No
CUST_0120,Eric,Sampson,Female,54,Cameroon,Karaside,richard42@example.net,6197143512,Enterprise,116035,2023-09-11,12,1452.64,2025-07-18,1,1,1,0.81,No
CUST_0121,Wendy,Gonzales,Female,42,Holy See (Vatican City State),East Samuel,ssnow@example.org,001-543-887-8848,SME,67377,2024-05-08,6,1256.56,2025-03-26,4,1,1,0.34,Yes
CUST_0122,Scott,Jones,Female,65,Belgium,North Kristina,hjohnson@example.org,(551)777-3340,Corporate,43554,2024-12-25,9,209.28,2024-12-13,5,0,0,0.39,No
CUST_0123,Michelle,Alexander,Male,18,Mayotte,South Micheal,brownlinda@example.net,+1-432-793-5772x703,Retail,82491,2020-11-20,11,474.56,2025-08-10,1,3,1,0.76,Yes
CUST_0124,Dana,Steele,Male,63,Greenland,New Mark,heatherrussell@example.com,622.986.5096x38521,Corporate,75621,2025-04-12,10,538.16,2024-12-27,2,1,1,0.07,No
CUST_0125,Michael,Jones,Male,32,Poland,Cuevasville,tristanmorgan@example.com,001-894-501-5550x59183,Corporate,134667,2024-08-19,10,1671.86,2025-02-26,2,3,1,0.87,No
CUST_0126,Melissa,Gibson,Male,26,Pakistan,East Andreamouth,warnereric@example.com,227-664-6192x773,Corporate,78283,2020-10-13,14,953.24,2025-05-11,1,2,2,0.43,No
CUST_0127,Timothy,Haynes,Female,32,Myanmar,Port Richardtown,florescassandra@example.net,001-982-525-5880x212,Retail,105140,2021-10-22,14,999.32,2024-10-24,4,1,1,0.58,No
CUST_0128,Angie,Williams,Female,66,Saint Helena,Woodport,josephfields@example.org,(638)234-2956x437,SME,36923,2025-06-11,20,1873.04,2025-02-17,5,5,2,0.76,No
CUST_0129,James,Ramos,Male,41,Guinea,Batesshire,john07@example.org,8828572911,Corporate,67591,2022-03-26,10,1292.32,2025-08-04,3,0,0,0.27,No
CUST_0130,Antonio,Gray,Female,21,French Guiana,Lake John,gilesrebecca@example.net,(503)391-3860x060,Retail,82261,2021-01-30,13,1802.4,2025-02-11,1,6,0,0.89,No
CUST_0131,Daniel,Alvarez,Male,29,Lebanon,South Alexander,patrick14@example.net,981-557-4900,Retail,136149,2025-09-15,7,940.19,2025-04-08,5,2,2,0.98,No
CUST_0132,Lori,Terry,Male,54,Czech Republic,Kellyville,jamesmiller@example.org,+1-904-682-2542x295,Corporate,74336,2025-06-14,11,341.4,2025-06-23,5,2,2,0.49,No
CUST_0133,Vanessa,Smith,Male,54,Bhutan,Patrickfurt,tprice@example.org,(527)712-5421x97335,SME,94083,2023-02-28,17,1863.37,2025-06-26,2,0,0,0.94,No
CUST_0134,Jennifer,Smith,Male,60,Iceland,Alexburgh,richardadams@example.com,001-935-252-5226x201,SME,80948,2023-03-05,12,944.47,2025-07-18,3,3,0,0.0,No
CUST_0135,Richard,Evans,Female,23,Tokelau,South Kevinside,christopher59@example.org,001-686-709-7868x0282,SME,129819,2025-09-02,6,404.18,2025-07-28,1,0,0,0.89,No
CUST_0136,Debra,Gallagher,Male,56,Myanmar,West Davidfort,wscott@example.net,5394392300,Retail,53002,2022-06-26,9,639.67,2025-09-13,2,1,1,0.31,No
CUST_0137,Stacey,Benson,Female,63,United States of America,Moraleshaven,seth59@example.com,554.928.7033x81213,Corporate,100098,2024-11-06,15,149.07,2025-04-26,2,0,0,0.31,No
CUST_0138,Troy,Brown,Female,41,United Arab Emirates,Mackstad,davisrichard@example.org,422-501-5774,Corporate,136236,2021-01-29,11,963.19,2025-03-16,4,2,1,0.23,No
CUST_0139,Connie,Joseph,Male,28,Bulgaria,South Grant,sampsonkevin@example.com,+1-784-503-3769x01341,Retail,93016,2024-02-29,11,1713.6,2025-05-21,5,0,0,0.32,No
CUST_0140,Daniel,Campos,Other,30,San Marino,Owensside,deborahtucker@example.org,+1-564-906-7743x35620,Retail,46672,2025-02-11,12,1870.48,2025-08-28,1,2,2,0.21,Yes
CUST_0141,Donna,Durham,Other,51,Northern Mariana Islands,Brucefurt,unovak@example.net,5862441775,SME,24213,2024-12-06,11,1868.57,2025-01-05,1,2,0,0.91,No
CUST_0142,Alexander,Howard,Male,42,Bolivia,Monicaburgh,teresa21@example.com,001-558-645-7146x87675,Retail,30293,2023-02-01,4,294.2,2024-11-26,1,2,2,0.9,No
CUST_0143,Linda,Leon,Female,24,Sri Lanka,Thomasland,lucasadam@example.org,(237)631-7865x4713,Corporate,119977,2024-09-01,15,795.01,2025-05-08,2,2,2,0.1,No
CUST_0144,Tyler,Hall,Male,69,Russian Federation,Coreychester,omontgomery@example.net,703.877.2626,Retail,75860,2021-06-22,7,105.05,2025-09-21,4,5,1,0.14,No
CUST_0145,Michael,Jones,Male,21,Finland,Jessicaland,valerie34@example.net,360-474-1032,Retail,82507,2024-08-14,11,1717.57,2025-05-12,3,1,1,0.86,No
CUST_0146,Sandra,Vincent,Male,25,Ethiopia,Martinville,hlopez@example.net,348-888-0898x76694,Retail,77134,2020-12-03,9,749.57,2025-06-20,2,3,1,0.4,No
